V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,variable,generation,rate,popSize,chroms,generationMean,generationSD,ymin
0.034623,0.0327285,0.0296855,0.034601,0.033351,0.0313485,0.0376585,0.03147,0.0321635,0.0280905,1e-7_1000_1,17,1e-7,1000,1,0.032572,0.00271049832441687,0.0298615016755831
0.034446,0.032541,0.029401,0.034445,0.033463,0.031264,0.0375685,0.031469,0.032102,0.027974,1e-7_1000_1,18,1e-7,1000,1,0.03246735,0.00272876775252534,0.0297385822474747
0.0342475,0.0325145,0.029099,0.0342845,0.033366,0.031379,0.0375855,0.0314075,0.032266,0.0278005,1e-7_1000_1,19,1e-7,1000,1,0.032395,0.00276681681319486,0.0296281831868051
0.0343735,0.032493,0.029038,0.034239,0.0334625,0.031376,0.03762,0.031411,0.032401,0.027899,1e-7_1000_1,20,1e-7,1000,1,0.0324313,0.0027737164118441,0.0296575835881559
0.034281,0.032402,0.0288595,0.034372,0.033619,0.0315165,0.037669,0.031496,0.032211,0.027966,1e-7_1000_1,21,1e-7,1000,1,0.0324392,0.00279858913065534,0.0296406108693447
0.034294,0.032383,0.028697,0.034399,0.0334145,0.031284,0.0377465,0.0314045,0.0323555,0.02772,1e-7_1000_1,22,1e-7,1000,1,0.0323698,0.00288755459015256,0.0294822454098474
0.0341005,0.0323795,0.0287955,0.034489,0.0332575,0.0312835,0.0378445,0.0313125,0.032536,0.02759,1e-7_1000_1,23,1e-7,1000,1,0.03235885,0.00290962463262493,0.0294492253673751
0.0339085,0.032291,0.0288655,0.034508,0.033365,0.031277,0.0377295,0.031417,0.032878,0.027404,1e-7_1000_1,24,1e-7,1000,1,0.03236435,0.0029052024508725,0.0294591475491275
0.034042,0.032405,0.028855,0.0344655,0.0331635,0.031273,0.0377425,0.0313385,0.0327695,0.027403,1e-7_1000_1,25,1e-7,1000,1,0.03234575,0.00290839326824585,0.0294373567317541
0.03394,0.0323605,0.028955,0.0344075,0.033013,0.0311925,0.037773,0.03129,0.0330145,0.0275425,1e-7_1000_1,26,1e-7,1000,1,0.03234885,0.00287040548868003,0.02947844451132
0.0337255,0.0324225,0.028893,0.0346685,0.032949,0.031117,0.037768,0.0312625,0.033211,0.0275115,1e-7_1000_1,27,1e-7,1000,1,0.03235285,0.00290195987461731,0.0294508901253827
0.033672,0.0322185,0.0289875,0.0345595,0.032845,0.03122,0.0378315,0.03127,0.033079,0.027537,1e-7_1000_1,28,1e-7,1000,1,0.032322,0.00287473689617367,0.0294472631038263
0.0336315,0.0322745,0.029084,0.034529,0.032644,0.031346,0.0378445,0.031321,0.0333895,0.0274895,1e-7_1000_1,29,1e-7,1000,1,0.03235535,0.0028695779214411,0.0294857720785589
0.03355,0.032359,0.0290235,0.0346965,0.0327295,0.03153,0.0377245,0.031121,0.0335805,0.0275545,1e-7_1000_1,30,1e-7,1000,1,0.0323869,0.00286203485109614,0.0295248651489039
0.0332665,0.0323345,0.0289875,0.034706,0.0326055,0.031476,0.0376695,0.03113,0.033723,0.027766,1e-7_1000_1,31,1e-7,1000,1,0.03236645,0.00281281729518842,0.0295536327048116
0.033192,0.03255,0.0288225,0.034713,0.032515,0.031405,0.0378625,0.0311255,0.0338195,0.0278725,1e-7_1000_1,32,1e-7,1000,1,0.03238775,0.0028631079000314,0.0295246420999686
0.033137,0.0324975,0.028864,0.034816,0.03272,0.0315505,0.0377945,0.0313255,0.033895,0.02776,1e-7_1000_1,33,1e-7,1000,1,0.032436,0.00286208787426242,0.0295739121257376
0.033206,0.03239,0.028865,0.034825,0.032557,0.0315455,0.0378245,0.0313125,0.0336555,0.027722,1e-7_1000_1,34,1e-7,1000,1,0.0323903,0.00286450083105436,0.0295257991689456
0.0329905,0.0322395,0.02868,0.0349055,0.032556,0.03138,0.037514,0.0313655,0.0337315,0.027972,1e-7_1000_1,35,1e-7,1000,1,0.03233345,0.00279113856149143,0.0295423114385086
0.03305,0.0322165,0.028654,0.034891,0.032492,0.0315925,0.0375145,0.031486,0.0336895,0.028071,1e-7_1000_1,36,1e-7,1000,1,0.0323657,0.00276363452520207,0.0296020654747979
0.0329345,0.0321465,0.028511,0.035021,0.032611,0.0314995,0.037472,0.0312035,0.033767,0.028217,1e-7_1000_1,37,1e-7,1000,1,0.0323383,0.00278256957784627,0.0295557304221537
0.032933,0.032099,0.028375,0.0351105,0.0324905,0.031364,0.037502,0.031046,0.03384,0.028265,1e-7_1000_1,38,1e-7,1000,1,0.0323025,0.00282732881395536,0.0294751711860446
0.0328455,0.0321825,0.028294,0.0350365,0.0321435,0.0310855,0.0376925,0.0308825,0.033793,0.028236,1e-7_1000_1,39,1e-7,1000,1,0.03221915,0.00288897304946854,0.0293301769505315
0.0327985,0.032166,0.028087,0.035182,0.0319615,0.031044,0.0377915,0.030915,0.034022,0.0280745,1e-7_1000_1,40,1e-7,1000,1,0.0322042,0.00299660965092219,0.0292075903490778
0.032737,0.0320745,0.02817,0.0353055,0.031775,0.0310745,0.0379825,0.030768,0.0342595,0.0280665,1e-7_1000_1,41,1e-7,1000,1,0.0322213,0.00306317338356447,0.0291581266164355
