V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,variable,generation,rate,popSize,chroms,generationMean,generationSD
0.0010016,0.00109888,0.00100558,0.000975559,0.00113398,0.00103349,0.00103915,0.00101807,0.00104428,0.000968468,1e-10_1000000_1,43,1e-10,1000000,1,0.0010319057,5.17633822526439e-05
0.000969522,0.00105235,0.000976513,0.000938055,0.00110939,0.000998811,0.00101194,0.000979401,0.00101737,0.000939339,1e-10_1000000_1,44,1e-10,1000000,1,0.0009992691,5.22481823957117e-05
0.000936882,0.00101791,0.000950253,0.000928289,0.00106494,0.000966837,0.000988478,0.000934519,0.000979113,0.000913508,1e-10_1000000_1,45,1e-10,1000000,1,0.0009680729,4.64077618710251e-05
0.000905621,0.000987361,0.000932393,0.000907756,0.00101974,0.00093989,0.000954302,0.0009036,0.000951232,0.000886491,1e-10_1000000_1,46,1e-10,1000000,1,0.0009388386,4.1347297716887e-05
0.000882012,0.000962497,0.000907964,0.000888499,0.000999939,0.000914296,0.000937145,0.000869632,0.000912779,0.000851491,1e-10_1000000_1,47,1e-10,1000000,1,0.0009126254,4.45242828957163e-05
0.000843292,0.000935043,0.000884152,0.000859268,0.000985939,0.000881717,0.000906797,0.000843374,0.00089849,0.00082212,1e-10_1000000_1,48,1e-10,1000000,1,0.0008860192,4.88074376727336e-05
0.000831967,0.000904923,0.000858086,0.000833527,0.000950915,0.000850074,0.000881456,0.000825524,0.00087608,0.000791497,1e-10_1000000_1,49,1e-10,1000000,1,0.0008604049,4.5302702059345e-05
0.000800623,0.0008733,0.000839439,0.000818122,0.000919074,0.000829413,0.000863574,0.00079696,0.000864637,0.000775362,1e-10_1000000_1,50,1e-10,1000000,1,0.0008380504,4.30224750907399e-05
0.000777803,0.000860336,0.000823911,0.000785378,0.000903516,0.000801649,0.000841869,0.00077364,0.000842973,0.000752538,1e-10_1000000_1,51,1e-10,1000000,1,0.0008163613,4.65560850827616e-05
0.000756428,0.000823738,0.000797483,0.000765851,0.000879813,0.00078304,0.000820098,0.000756308,0.000814052,0.000728614,1e-10_1000000_1,52,1e-10,1000000,1,0.0007925425,4.38969183839949e-05
0.000728185,0.000786736,0.000783746,0.000742012,0.000852273,0.000764923,0.000796733,0.000743073,0.000799059,0.000703657,1e-10_1000000_1,53,1e-10,1000000,1,0.0007700397,4.27927966758945e-05
0.000705172,0.000761575,0.000774845,0.000718308,0.000826121,0.000755274,0.000777605,0.000719931,0.000773962,0.000682056,1e-10_1000000_1,54,1e-10,1000000,1,0.0007494849,4.27414720550583e-05
0.000676608,0.000748126,0.000754474,0.000702932,0.00080165,0.000738989,0.000758028,0.000704449,0.000760273,0.000664122,1e-10_1000000_1,55,1e-10,1000000,1,0.0007309651,4.27016901550747e-05
0.000670345,0.000740025,0.000742621,0.000677161,0.000780972,0.000722451,0.000725347,0.000693098,0.000729195,0.000647652,1e-10_1000000_1,56,1e-10,1000000,1,0.0007128867,4.01416937168271e-05
0.000644017,0.000724186,0.000730725,0.000663292,0.000764755,0.000711607,0.000701389,0.000674473,0.000695252,0.000639324,1e-10_1000000_1,57,1e-10,1000000,1,0.000694902,4.00503512788035e-05
0.000629269,0.000707836,0.000707321,0.000627335,0.000744195,0.000698233,0.000681021,0.00066757,0.000679322,0.000616198,1e-10_1000000_1,58,1e-10,1000000,1,0.00067583,4.13316801631764e-05
0.000610852,0.000703164,0.000705889,0.000616523,0.000724769,0.000678531,0.000666896,0.000654439,0.000655986,0.00060087,1e-10_1000000_1,59,1e-10,1000000,1,0.0006617919,4.26509965350557e-05
0.000595852,0.000691283,0.00067261,0.000601658,0.000702619,0.000662995,0.000657246,0.000638177,0.000639892,0.000583873,1e-10_1000000_1,60,1e-10,1000000,1,0.0006446205,4.05516566020017e-05
0.000574338,0.000665523,0.000657189,0.000584964,0.000693266,0.000659275,0.000637279,0.000628218,0.000622858,0.000570106,1e-10_1000000_1,61,1e-10,1000000,1,0.0006293016,4.17357005590604e-05
0.000560701,0.000652768,0.000637915,0.000569232,0.000679359,0.000647721,0.000613085,0.000619846,0.000607335,0.000561221,1e-10_1000000_1,62,1e-10,1000000,1,0.0006149183,4.10763141456106e-05
0.000548518,0.000639588,0.000629718,0.000560638,0.000664538,0.000627288,0.000606423,0.000616096,0.00059119,0.000548338,1e-10_1000000_1,63,1e-10,1000000,1,0.0006032335,4.01418046022127e-05
