V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,variable,generation,generationMean,generationSD
0.0314153,0.031245,0.0313688,0.0313788,0.030792,0.0323281,0.0323816,0.0312775,0.0320656,0.0317299,h0.1.spHuman,82,0.03159826,0.000515756993166356
0.0313696,0.0312337,0.0313781,0.0313669,0.0307675,0.0323152,0.0323652,0.0312642,0.0320702,0.0317136,h0.1.spHuman,83,0.03158442,0.000519108282003326
0.0313724,0.0312216,0.031366,0.0313505,0.0307673,0.0323217,0.0323508,0.0312514,0.0320871,0.0316922,h0.1.spHuman,84,0.0315781,0.000522007715992355
0.0313475,0.0312216,0.0313437,0.0313573,0.0307475,0.0323103,0.0323652,0.0312628,0.0320748,0.0316903,h0.1.spHuman,85,0.0315721,0.000525764843928453
0.0313543,0.0312113,0.0313452,0.0313434,0.0307281,0.0323054,0.0323585,0.0312632,0.0320566,0.031674,h0.1.spHuman,86,0.031564,0.000525967637365223
0.0313355,0.0312359,0.0313382,0.0313611,0.0307166,0.0322904,0.0323476,0.0312586,0.032021,0.031668,h0.1.spHuman,87,0.03155729,0.000519002516478591
0.0313334,0.0312089,0.0313216,0.0313283,0.0306781,0.0322701,0.0323299,0.0312077,0.0320148,0.0316504,h0.1.spHuman,88,0.03153432,0.000526245582298693
0.031282,0.0311876,0.0313158,0.031318,0.030666,0.0322747,0.0323013,0.0312039,0.0320265,0.0316287,h0.1.spHuman,89,0.03152045,0.000529908619480756
0.0313053,0.031159,0.0313095,0.0313029,0.0306694,0.0322836,0.0322872,0.0311913,0.032001,0.0316225,h0.1.spHuman,90,0.03151317,0.000528362813162825
0.0313026,0.0311329,0.0313019,0.0313034,0.0306658,0.0322636,0.0322601,0.0311824,0.0319914,0.0315847,h0.1.spHuman,91,0.03149888,0.000522585050600485
0.031276,0.0311057,0.0312895,0.0313071,0.0306619,0.0322632,0.0322667,0.0311597,0.031956,0.0315973,h0.1.spHuman,92,0.03148831,0.0005261732613883
0.031276,0.0310817,0.0312764,0.0312791,0.0306544,0.0322695,0.0322632,0.0311405,0.0319497,0.0316044,h0.1.spHuman,93,0.03147949,0.000532473432722756
0.0312519,0.031039,0.0312626,0.0312612,0.0306418,0.0322536,0.0322556,0.0311465,0.0319428,0.0315543,h0.1.spHuman,94,0.03146093,0.000534532849110116
0.0312536,0.031035,0.0312508,0.0312426,0.0306279,0.0322296,0.0322503,0.0311305,0.0319161,0.0315563,h0.1.spHuman,95,0.03144927,0.000532105027331176
0.0312619,0.0310389,0.0312595,0.0312366,0.0306024,0.0322137,0.0322435,0.031108,0.031877,0.0315533,h0.1.spHuman,96,0.03143948,0.000529819415356675
0.0312546,0.0310435,0.0312396,0.0312311,0.0305775,0.0322269,0.0322305,0.031104,0.0318774,0.0315599,h0.1.spHuman,97,0.0314345,0.000535587025815808
0.0312546,0.0310256,0.0312165,0.031223,0.0305781,0.0322126,0.0322066,0.0311116,0.031848,0.0315497,h0.1.spHuman,98,0.03142263,0.000528512291563152
0.0312473,0.03106,0.0311939,0.0312285,0.0305677,0.0322184,0.0321951,0.0311047,0.0318338,0.0315274,h0.1.spHuman,99,0.03141768,0.000526411549603118
0.0312469,0.0310774,0.0311784,0.0312047,0.0305711,0.0321923,0.0321614,0.0310728,0.0318401,0.03152,h0.1.spHuman,100,0.03140651,0.000518976292436477
0.0312186,0.0310792,0.0311928,0.0312086,0.0305528,0.0321977,0.0321591,0.0310667,0.031858,0.0314976,h0.1.spHuman,101,0.03140311,0.000524507416428871
0.0311999,0.0310809,0.0311609,0.0312081,0.0305496,0.0321741,0.0321752,0.0310448,0.0318506,0.0315,h0.1.spHuman,102,0.03139441,0.000526845978863315
0.0312109,0.0310972,0.0311351,0.0312237,0.0305527,0.0321766,0.0321824,0.0310422,0.0318371,0.0314664,h0.1.spHuman,103,0.03139243,0.0005254403572243
0.0312041,0.0310903,0.031109,0.0312351,0.0305376,0.032186,0.0321581,0.0310762,0.031845,0.0314649,h0.1.spHuman,104,0.03139063,0.000525844797656326
0.031195,0.0310596,0.031081,0.0312192,0.0305166,0.032158,0.032143,0.031098,0.0318152,0.0314713,h0.1.spHuman,105,0.03137569,0.000523038593116118
